product_id,seller_id,category,product_name,maintenance_rate,commission_rate,weight,created_at
P000001,S0001,Electronics,Headphones,0.0,0.05,0.24,2022-01-01
P000026,S0001,Electronics,Camera,0.0,0.05,0.84,2022-01-01
P000025,S0001,Electronics,Tablet,0.0,0.05,0.66,2022-01-01
P000024,S0001,Electronics,Smartwatch,0.0,0.05,0.18,2022-01-01
P000023,S0001,Electronics,Smartwatch,0.0,0.05,0.2,2022-01-01
P000022,S0001,Electronics,Camera,0.0,0.05,0.58,2022-01-01
P000021,S0001,Electronics,Smartphone,0.0,0.05,0.27,2022-01-01
P000019,S0001,Electronics,Laptop,0.0,0.05,1.23,2022-01-01
P000017,S0001,Electronics,Gaming Mouse,0.0,0.05,0.31,2022-01-01
P000015,S0001,Electronics,Headphones,0.0,0.05,0.47,2022-01-01
P000014,S0001,Electronics,Smartphone,0.0,0.05,0.22,2022-01-01
P000027,S0001,Electronics,Smartwatch,0.0,0.05,0.12,2022-01-01
P000005,S0001,Electronics,Bluetooth Speaker,0.0,0.05,1.01,2022-01-01
P000011,S0001,Electronics,Camera,0.0,0.05,0.61,2022-01-01
P000009,S0001,Electronics,Headphones,0.0,0.05,0.41,2022-01-01
P000008,S0001,Electronics,Gaming Mouse,0.0,0.05,0.26,2022-01-01
P000007,S0001,Electronics,Smartphone,0.0,0.05,0.27,2022-01-01
P000006,S0001,Electronics,Laptop,0.0,0.05,1.57,2022-01-01
P000012,S0001,Electronics,Laptop,0.0,0.05,1.91,2022-01-01
P000003,S0001,Electronics,Smartphone,0.0,0.05,0.26,2022-01-01
P000002,S0001,Electronics,Monitor,0.0,0.05,4.27,2022-01-01
P000038,S0002,Fashion,Jeans,0.0,0.1,0.42,2022-01-04
P000040,S0002,Fashion,Belt,0.0,0.1,0.12,2022-01-04
P000042,S0002,Fashion,Socks,0.0,0.1,0.19,2022-01-04
P000043,S0002,Fashion,Handbag,0.0,0.1,0.79,2022-01-04
P000044,S0002,Fashion,Handbag,0.0,0.1,0.65,2022-01-04
P000033,S0002,Fashion,Jacket,0.0,0.1,0.33,2022-01-04
P000047,S0002,Groceries,Milk,0.0,0.03,1.51,2022-01-04
P000048,S0002,Fashion,Jacket,0.0,0.1,0.59,2022-01-04
P000050,S0002,Fashion,Dress,0.0,0.1,0.5,2022-01-04
P000051,S0002,Fashion,Jeans,0.0,0.1,0.3,2022-01-04
P000052,S0002,Fashion,Belt,0.0,0.1,0.14,2022-01-04
P000045,S0002,Groceries,Cooking Oil,0.0,0.03,1.24,2022-01-04
P000036,S0002,Fashion,Jeans,0.0,0.1,0.35,2022-01-04
P000056,S0002,Fashion,Jacket,0.0,0.1,0.66,2022-01-04
P000034,S0002,Fashion,Dress,0.0,0.1,0.63,2022-01-04
P000035,S0002,Fashion,Scarf,0.0,0.1,0.22,2022-01-04
P000030,S0002,Groceries,Sugar,0.0,0.03,3.85,2022-01-04
P000031,S0002,Fashion,Belt,0.0,0.1,0.19,2022-01-04
P000053,S0002,Groceries,Sugar,0.0,0.03,2.48,2022-01-04
P000032,S0002,Fashion,Belt,0.0,0.1,0.15,2022-01-04
P000004,S0001,Electronics,Power Bank,0.0,0.05,0.38,2022-01-05
P003934,S0003,Fashion,Sneakers,0.005,0.1,0.85,2022-01-08
P003931,S0003,Fashion,Handbag,0.005,0.1,1.02,2022-01-08
P003928,S0003,Fashion,Handbag,0.005,0.1,1.32,2022-01-08
P003932,S0003,Fashion,T-Shirt,0.005,0.1,0.24,2022-01-08
P003935,S0003,Fashion,Socks,0.005,0.1,0.09,2022-01-08
P003927,S0003,Fashion,Belt,0.005,0.1,0.15,2022-01-08
P003936,S0003,Fashion,Hat,0.005,0.1,0.27,2022-01-08
P003926,S0003,Fashion,Hat,0.005,0.1,0.24,2022-01-08
P003925,S0003,Fashion,Jeans,0.005,0.1,0.74,2022-01-08
P003923,S0003,Fashion,Handbag,0.005,0.1,1.31,2022-01-08
P003933,S0003,Fashion,T-Shirt,0.005,0.1,0.21,2022-01-08
P003924,S0003,Fashion,Jeans,0.005,0.1,0.59,2022-01-08
P003921,S0003,Fashion,Jeans,0.005,0.1,0.6,2022-01-08
P000080,S0004,Beauty,Moisturizer,0.0,0.12,0.45,2022-01-13
P000084,S0004,Beauty,Moisturizer,0.0,0.12,0.43,2022-01-13
P000083,S0004,Beauty,Face Mask,0.0,0.12,0.18,2022-01-13
P000081,S0004,Beauty,Shampoo,0.0,0.12,0.24,2022-01-13
P000079,S0004,Beauty,Perfume,0.0,0.12,0.4,2022-01-13
P000078,S0004,Beauty,Foundation,0.0,0.12,0.19,2022-01-13
P000077,S0004,Beauty,Lipstick,0.0,0.12,0.07,2022-01-13
P000075,S0004,Fashion,Socks,0.0,0.1,0.1,2022-01-13
P000074,S0004,Beauty,Foundation,0.0,0.12,0.23,2022-01-06
P000073,S0004,Beauty,Shampoo,0.0,0.12,0.31,2022-01-13
P000070,S0004,Home,Rug,0.0,0.08,2.93,2022-01-13
P000069,S0004,Beauty,Nail Polish,0.0,0.12,0.07,2022-01-13
P000072,S0004,Beauty,Conditioner,0.0,0.12,0.21,2022-01-13
P000067,S0004,Beauty,Shampoo,0.0,0.12,0.27,2022-01-13
P000058,S0004,Beauty,Conditioner,0.0,0.12,0.25,2022-01-13
P000068,S0004,Beauty,Moisturizer,0.0,0.12,0.49,2022-01-13
P000061,S0004,Beauty,Lipstick,0.0,0.12,0.09,2022-01-13
P000062,S0004,Beauty,Nail Polish,0.0,0.12,0.09,2022-01-13
